"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-06-18","1,820","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-06-19","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-06-20","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-06-21","1,820","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-06-22","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-06-23","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-06-24","1,820","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-06-25","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-06-26","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-06-27","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-06-28","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-06-29","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-06-30","1,820","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-07-01","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-07-02","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-07-03","1,820","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-07-04","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-07-05","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-07-06","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-07-07","1,820","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-07-08","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-07-09","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-07-10","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-07-11","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-07-12","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-07-13","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-07-14","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-07-15","1,820","0",0,0,"1,440",0,0,0,"0","Tuesday"
